,state_idx,action_idx,rank,mape,mae,mse,weight
0,0,0,3,1.051322536684409,0.6670615731291978,0.46424536224285967,0.2819078947368421
1,0,1,3,1.1011594390394424,0.6831998051318534,0.4794642137206026,0.2819078947368421
2,0,2,3,1.076051173436678,0.68175875853628,0.4780025992440639,0.2819078947368421
3,1,0,3,0.8183829513247023,0.6039198644125725,0.40221108394409644,0.215625
4,1,1,3,0.86429179229863,0.6104793195589647,0.39647841761507135,0.215625
5,1,2,3,0.8772697522960712,0.6188210641010866,0.4069931969341862,0.215625
6,2,0,0,0.7385660549428431,0.9323718577031673,1.0006013989453821,0.5024671052631579
7,2,1,0,0.7172983898952342,0.9271530401611706,0.992957815033621,0.5024671052631579
8,2,2,0,0.7192896409614377,0.9234351644321661,0.9879500613094403,0.5024671052631579
9,3,0,3,0.8363868441038828,0.4531362819252653,0.24973157075818078,0.215625
10,3,1,3,0.8088417611299304,0.4205003969449046,0.22515960109445624,0.215625
11,3,2,3,0.8106329639077382,0.4235053377924604,0.23115377650804358,0.215625
12,4,0,3,0.7359823159571469,0.4942185108976538,0.2774493805497978,0.215625
13,4,1,3,0.7274889474337263,0.4848825658477321,0.2618957308491001,0.215625
14,4,2,3,0.7266619118956759,0.4868664468444362,0.2605631556137901,0.215625
15,5,0,0,0.6265711782528599,0.6500730169762762,0.47226687161633735,0.2819078947368421
16,5,1,0,0.6444332293462945,0.6629047173211566,0.48324765369223543,0.2819078947368421
17,5,2,0,0.634826619904223,0.6608519904762101,0.48355055881598913,0.2819078947368421
18,6,0,3,0.9641688032525221,0.39456935913623425,0.19402315539616388,0.215625
19,6,1,3,0.926971092509928,0.36330189831088794,0.15909145076912604,0.215625
20,6,2,3,0.9707168322831254,0.37016140048241225,0.1707303014822812,0.215625
21,7,0,3,1.1999195260447395,0.5248721057734197,0.3173614492143712,0.5024671052631579
22,7,1,3,1.1601569661184217,0.5184927100500768,0.3058533042605112,0.5024671052631579
23,7,2,3,1.1226320021512255,0.5057855685116157,0.2971822853771946,0.5024671052631579
24,8,0,0,0.5142240547537265,0.7222806828102293,0.5945190174569975,0.5024671052631579
25,8,1,0,0.5141680499835978,0.7263554028551601,0.5944816859424065,0.5024671052631579
26,8,2,0,0.5004629286657628,0.7110035709421657,0.5765062910435848,0.5024671052631579
27,9,0,3,0.4946306569633286,0.4321904592690123,0.2385420934383149,0.5024671052631579
28,9,1,3,0.49095228920215633,0.4283916665094349,0.2336703660284424,0.5024671052631579
29,9,2,3,0.4744841793589945,0.4168348975029828,0.22899756255544013,0.5024671052631579
30,10,0,3,0.7781837790460701,0.5875588535026318,0.4051932932755004,0.2819078947368421
31,10,1,3,0.7713546138910633,0.5941639571145779,0.39544682377442975,0.2819078947368421
